Ton,Toff,Id,SV,KW,MRR,WLT,Ra
-1,-1,-1,-1,0.242,0.270,4.114,0.331
-1,-1,0,0,0.240,0.363,2.717,0.346
-1,-1,1,1,0.245,0.313,3.609,0.339
-1,0,-1,0,0.247,0.217,5.048,0.255
-1,0,0,1,0.244,0.156,5.494,0.298
-1,0,1,-1,0.237,0.297,4.334,0.323
-1,1,-1,1,0.251,0.014,5.496,0.232
-1,1,0,-1,0.237,0.143,3.890,0.306
-1,1,1,0,0.238,0.272,2.434,0.299
0,-1,-1,-1,0.244,0.285,5.090,0.281
0,-1,0,0,0.238,0.402,3.188,0.321
0,-1,1,1,0.243,0.353,4.080,0.317
0,0,-1,0,0.245,0.257,5.519,0.234
0,0,0,1,0.242,0.196,5.965,0.276
0,0,1,-1,0.236,0.353,4.733,0.295
0,1,-1,1,0.249,0.054,5.967,0.210
0,1,0,-1,0.234,0.183,4.361,0.285
0,1,1,0,0.235,0.312,2.906,0.278
1,-1,-1,-1,0.246,0.344,5.566,0.322
1,-1,0,0,0.240,0.462,3.664,0.364
1,-1,1,1,0.245,0.412,4.556,0.357
1,0,-1,0,0.246,0.316,5.995,0.274
1,0,0,1,0.244,0.255,6.441,0.316
1,0,1,-1,0.237,0.396,5.281,0.342
1,1,-1,1,0.250,0.113,6.443,0.250
1,1,0,-1,0.236,0.242,4.837,0.323
1,1,1,0,0.237,0.371,3.382,0.318